Testbook:Script,./testbook.sh#L12; ./testbook-local.sh#L12,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./testbook.sh#L12; https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./testbook-local.sh#L12
GeneratedDocsIndex:Script,./index.sh#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./index.sh#L3
FeatureMap:Script,./featuremap.sh#L12,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./featuremap.sh#L12
Forms:Script,./forms.sh#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./forms.sh#L3
DataModels:Script,./data_models.sh#L4,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L4
TestCoverage:Script,./coverage.sh#L8,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./coverage.sh#L8
FieldDescriptions:Documentation,./data_models/README.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models/README.md#L3
S3:Documentation,./system/S3.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/S3.md#L3
OpenURL:Documentation,./system/OPENURL.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L3
AuthNZ:Documentation,./system/AUTHNZ.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L3
Install:Documentation,./system/INSTALL.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L3
API:Documentation,./system/API.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/API.md#L3
AWS:Documentation,./system/AWS.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AWS.md#L3
