Testbook:Script,->,Testbook:Technology,./testbook.sh#L12; ./testbook-local.sh#L12,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./testbook.sh#L12; https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./testbook-local.sh#L12
FeatureMap:Script,->,FeatureMap:Technology,./featuremap.sh#L12,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./featuremap.sh#L12
Forms:Script,->,ApplicationForms:Feature,./forms.sh#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./forms.sh#L3
DataModels:Script,->,Forms:Script,./data_models.sh#L4,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L4
DataModels:Script,->,FieldDescriptions:Documentation,./data_models.sh#L5,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L5
DataModels:Script,->,Seamless:Library,./data_models.sh#L6,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L6
DataModels:Script,->,DataObj:Library,./data_models.sh#L7,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L7
DataModels:Script,->,Journal:Model,./data_models.sh#L8,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L8
DataModels:Script,->,Application:Model,./data_models.sh#L9,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L9
DataModels:Script,->,IncomingArticle:Model,./data_models.sh#L10,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L10
DataModels:Script,->,IncomingApplication:Model,./data_models.sh#L11,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L11
DataModels:Script,->,OutgoingJournal:Model,./data_models.sh#L12,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./data_models.sh#L12
TestCoverage:Script,->,UnitTests:Test,./coverage.sh#L8,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./coverage.sh#L8
S3:Documentation,->,S3:Technology,./system/S3.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/S3.md#L3
S3:Documentation,->,PublicDataDump:Feature,./system/S3.md#L120,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/S3.md#L120
S3:Documentation,->,Cache:Feature,./system/S3.md#L263,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/S3.md#L263
OpenURL:Documentation,->,OpenURL:Endpoint,./system/OPENURL.md#L27,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L27
OpenURL:Documentation,->,Article:Model,./system/OPENURL.md#L88; ./system/OPENURL.md#L148,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L88; https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L148
OpenURL:Documentation,->,Journal:Model,./system/OPENURL.md#L89; ./system/OPENURL.md#L140,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L89; https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L140
OpenURL:Documentation,->,Application:Model,./system/OPENURL.md#L141,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/OPENURL.md#L141
AuthNZ:Documentation,->,CreateUser:Script,./system/AUTHNZ.md#L13,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L13
AuthNZ:Documentation,->,User:Endpoint,./system/AUTHNZ.md#L21,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L21
AuthNZ:Documentation,->,Register:Endpoint,./system/AUTHNZ.md#L27,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L27
AuthNZ:Documentation,->,UserRoles:Feature,./system/AUTHNZ.md#L31,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L31
AuthNZ:Documentation,->,Flask:Technology,./system/AUTHNZ.md#L56,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AUTHNZ.md#L56
Install:Documentation,->,Java:Technology,./system/INSTALL.md#L9,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L9
Install:Documentation,->,Elasticsearch:Technology,./system/INSTALL.md#L17,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L17
Install:Documentation,->,Redis:Technology,./system/INSTALL.md#L36,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L36
Install:Documentation,->,Python:Technology,./system/INSTALL.md#L48,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L48
Install:Documentation,->,Huey:Technology,./system/INSTALL.md#L103,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L103
Install:Documentation,->,JournalCSV:Script,./system/INSTALL.md#L116,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L116
Install:Documentation,->,Sitemap:Script,./system/INSTALL.md#L124,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L124
Install:Documentation,->,News:Script,./system/INSTALL.md#L132,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/INSTALL.md#L132
API:Documentation,->,OutgoingApplication:Model,./system/API.md#L31,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/API.md#L31
API:Documentation,->,OutgoingCommonJournalApplication:Model,./system/API.md#L32,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/API.md#L32
API:Documentation,->,Swagger:Documentation,./system/API.md#L49,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/API.md#L49
API:Documentation,->,IncomingApplication:Model,./system/API.md#L64,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/API.md#L64
AWS:Documentation,->,S3:Technology,./system/AWS.md#L3,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AWS.md#L3
AWS:Documentation,->,SecretsManager:Technology,./system/AWS.md#L4,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AWS.md#L4
AWS:Documentation,->,Lambda:Technology,./system/AWS.md#L5,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AWS.md#L5
AWS:Documentation,->,Elasticsearch:Technology,./system/AWS.md#L19,https://github.com/DOAJ/doaj/blob/feature/3384_testbook/./system/AWS.md#L19
